Timestamp,Command,CPU_Usage(%),Mem_Usage(%)
2024-08-19 15:02:40,stress-ng --matrix 0 -t 1m,98.6,47.331
2024-08-19 15:02:46,stress-ng --matrix 0 -t 1m,98.9,47.2907
2024-08-19 15:02:51,stress-ng --matrix 0 -t 1m,100,47.3121
2024-08-19 15:02:56,stress-ng --matrix 0 -t 1m,98.7,47.3386
2024-08-19 15:03:02,stress-ng --matrix 0 -t 1m,98.6,47.3865
2024-08-19 15:03:07,stress-ng --matrix 0 -t 1m,97.5,47.423
2024-08-19 15:03:13,stress-ng --matrix 0 -t 1m,97.2,47.3613
2024-08-19 15:03:18,stress-ng --matrix 0 -t 1m,98.8,47.4117
2024-08-19 15:03:23,stress-ng --matrix 0 -t 1m,97.6,47.428
2024-08-19 15:03:29,stress-ng --matrix 0 -t 1m,96.5,47.4457
2024-08-19 15:03:34,stress-ng --matrix 0 -t 1m,100,47.4658
2024-08-19 15:03:39,stress-ng --matrix 0 -t 1m,Process Ended,,,,,
2024-08-19 15:04:39,stress-ng --mq 0 -t 1m,91.7,47.4683
2024-08-19 15:04:45,stress-ng --mq 0 -t 1m,91.9,47.452
2024-08-19 15:04:50,stress-ng --mq 0 -t 1m,96.4,47.3587
2024-08-19 15:04:56,stress-ng --mq 0 -t 1m,100,47.3701
2024-08-19 15:05:01,stress-ng --mq 0 -t 1m,88.3,47.3713
2024-08-19 15:05:06,stress-ng --mq 0 -t 1m,73,47.4633
2024-08-19 15:05:12,stress-ng --mq 0 -t 1m,75.8,47.4419
2024-08-19 15:05:17,stress-ng --mq 0 -t 1m,89.9,47.4469
2024-08-19 15:05:22,stress-ng --mq 0 -t 1m,100,47.4318
2024-08-19 15:05:28,stress-ng --mq 0 -t 1m,98.9,47.4532
2024-08-19 15:05:33,stress-ng --mq 0 -t 1m,100,47.4822
2024-08-19 15:05:39,stress-ng --mq 0 -t 1m,Process Ended,,,,,
2024-08-19 15:06:27,stress-ng --matrix 0 --matrix-size 64 --tz  -t 60,97.5,47.3713
2024-08-19 15:06:32,stress-ng --matrix 0 --matrix-size 64 --tz  -t 60,100,47.4306
2024-08-19 15:06:38,stress-ng --matrix 0 --matrix-size 64 --tz  -t 60,98.9,47.4117
2024-08-19 15:06:43,stress-ng --matrix 0 --matrix-size 64 --tz  -t 60,100,47.4406
2024-08-19 15:06:49,stress-ng --matrix 0 --matrix-size 64 --tz  -t 60,97.3,47.4532
2024-08-19 15:06:54,stress-ng --matrix 0 --matrix-size 64 --tz  -t 60,100,47.4583
2024-08-19 15:06:59,stress-ng --matrix 0 --matrix-size 64 --tz  -t 60,100,47.4545
2024-08-19 15:07:05,stress-ng --matrix 0 --matrix-size 64 --tz  -t 60,97.6,47.4683
2024-08-19 15:07:10,stress-ng --matrix 0 --matrix-size 64 --tz  -t 60,98.6,47.4356
2024-08-19 15:07:16,stress-ng --matrix 0 --matrix-size 64 --tz  -t 60,98.6,47.4457
2024-08-19 15:07:21,stress-ng --matrix 0 --matrix-size 64 --tz  -t 60,98.8,47.4444
2024-08-19 15:07:26,stress-ng --matrix 0 --matrix-size 64 --tz  -t 60,Process Ended,,,,,
2024-08-19 15:10:30,stress-ng --brk 2 -t 1m,92,59.0009
2024-08-19 15:10:35,stress-ng --brk 2 -t 1m,80,85.6277
2024-08-19 15:13:38,stress-ng --brk 2 -t 1m,52.5,47.0387
2024-08-19 15:13:44,stress-ng --brk 2 -t 1m,Process Ended,,,,,
2024-08-19 15:24:12,stress-ng --vm 4 --vm-bytes 1G -t 60s,95.3,57.5458
2024-08-19 15:24:17,stress-ng --vm 4 --vm-bytes 1G -t 60s,94.5,59.7997
2024-08-19 15:24:23,stress-ng --vm 4 --vm-bytes 1G -t 60s,100,57.9943
2024-08-19 15:24:28,stress-ng --vm 4 --vm-bytes 1G -t 60s,92.9,60.2482
2024-08-19 15:24:33,stress-ng --vm 4 --vm-bytes 1G -t 60s,100,52.2482
2024-08-19 15:24:39,stress-ng --vm 4 --vm-bytes 1G -t 60s,100,60.1008
2024-08-19 15:24:44,stress-ng --vm 4 --vm-bytes 1G -t 60s,98.9,59.9181
2024-08-19 15:24:50,stress-ng --vm 4 --vm-bytes 1G -t 60s,93.4,59.898
2024-08-19 15:24:55,stress-ng --vm 4 --vm-bytes 1G -t 60s,97.6,55.6384
2024-08-19 15:25:01,stress-ng --vm 4 --vm-bytes 1G -t 60s,97.8,59.8639
2024-08-19 15:25:06,stress-ng --vm 4 --vm-bytes 1G -t 60s,97.2,59.9521
